Sample Name,Sample ID,Barcode ID,MS Method,Processing Method,LC Method,Rack Type,Rack Position,Plate Type,Plate Position,Vial Position,Sample Type,Dilution Factor,Data File,Results File,Comment,Injection Volume,Marker Well
Air_6B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F2,Unknown,1,Air_6B_EAD_15min,,,2,
Air_6C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F3,Unknown,1,Air_6C_EAD_15min,,,2,
Blank_10_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C4,Unknown,1,Blank_10_EAD_15min,,,2,
Air_QC_3_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E4,Unknown,1,Air_QC_3_EAD_15min,,,2,
Air_cntrlA_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,G1,Unknown,1,Air_cntrlA_EAD_15min,,,2,
Air_cntrlB_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,G2,Unknown,1,Air_cntrlB_EAD_15min,,,2,
Air_cntrlC_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,G3,Unknown,1,Air_cntrlC_EAD_15min,,,2,
Blank_11_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A8,Unknown,1,Blank_11_EAD_15min,,,2,
Blank_12_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A8,Unknown,1,Blank_12_EAD_15min,,,2,
FR1_QC_1_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D8,Unknown,1,FR1_QC_1_EAD_15min,,,2,
FR1_1A_A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A5,Unknown,1,FR1_1A_A_EAD_15min,,,2,
FR1_1A_B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A6,Unknown,1,FR1_1A_B_EAD_15min,,,2,
FR1_1A_C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A7,Unknown,1,FR1_1A_C_EAD_15min,,,2,
Blank_13_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A8,Unknown,1,Blank_13_EAD_15min,,,2,
FR1_1A_A_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A9,Unknown,1,FR1_1A_A_Cntrl_EAD_15min,,,2,
FR1_1A_B_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A10,Unknown,1,FR1_1A_B_Cntrl_EAD_15min,,,2,
FR1_1A_C_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A11,Unknown,1,FR1_1A_C_Cntrl_EAD_15min,,,2,
Blank_14_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A8,Unknown,1,Blank_14_EAD_15min,,,2,
FR1_QC_2_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D8,Unknown,1,FR1_QC_2_EAD_15min,,,2,
FR1_1B_A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B5,Unknown,1,FR1_1B_A_EAD_15min,,,2,
FR1_1B_B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B6,Unknown,1,FR1_1B_B_EAD_15min,,,2,
FR1_1B_C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B7,Unknown,1,FR1_1B_C_EAD_15min,,,2,
Blank_15_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B8,Unknown,1,Blank_15_EAD_15min,,,2,
FR1_1B_A_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B9,Unknown,1,FR1_1B_A_Cntrl_EAD_15min,,,2,
FR1_1B_B_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B10,Unknown,1,FR1_1B_B_Cntrl_EAD_15min,,,2,
FR1_1B_C_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B11,Unknown,1,FR1_1B_C_Cntrl_EAD_15min,,,2,
Blank_16_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A12,Unknown,1,Blank_16_EAD_15min,,,2,
FR1_1C_A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C5,Unknown,1,FR1_1C_A_EAD_15min,,,2,
FR1_1C_B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C6,Unknown,1,FR1_1C_B_EAD_15min,,,2,
FR1_1C_C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C7,Unknown,1,FR1_1C_C_EAD_15min,,,2,
Blank_17_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A12,Unknown,1,Blank_17_EAD_15min,,,2,
FR1_1C_A_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C9,Unknown,1,FR1_1C_A_Cntrl_EAD_15min,,,2,
FR1_1C_B_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C10,Unknown,1,FR1_1C_B_Cntrl_EAD_15min,,,2,
FR1_1C_C_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C11,Unknown,1,FR1_1C_C_Cntrl_EAD_15min,,,2,
Blank_18_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,A12,Unknown,1,Blank_18_EAD_15min,,,2,
FR1_QC_3_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D8,Unknown,1,FR1_QC_3_EAD_15min,,,2,
FR2_2A_A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D5,Unknown,1,FR2_2A_A_EAD_15min,,,2,
FR2_2A_B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D6,Unknown,1,FR2_2A_B_EAD_15min,,,2,
FR2_2A_C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D7,Unknown,1,FR2_2A_C_EAD_15min,,,2,
Blank_19_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B8,Unknown,1,Blank_19_EAD_15min,,,2,
FR2_2A_A_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D9,Unknown,1,FR2_2A_A_Cntrl_EAD_15min,,,2,
FR2_2A_B_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D10,Unknown,1,FR2_2A_B_Cntrl_EAD_15min,,,2,
FR2_2A_C_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D11,Unknown,1,FR2_2A_C_Cntrl_EAD_15min,,,2,
Blank_20_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B8,Unknown,1,Blank_20_EAD_15min,,,2,
FR2_2B_A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E5,Unknown,1,FR2_2B_A_EAD_15min,,,2,
FR2_2B_B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E6,Unknown,1,FR2_2B_B_EAD_15min,,,2,
FR2_2B_C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E7,Unknown,1,FR2_2B_C_EAD_15min,,,2,
Blank_21_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,C8,Unknown,1,Blank_21_EAD_15min,,,2,
FR2_2B_A_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E9,Unknown,1,FR2_2B_A_Cntrl_EAD_15min,,,2,
FR2_2B_B_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E10,Unknown,1,FR2_2B_B_Cntrl_EAD_15min,,,2,
FR2_2B_C_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,E11,Unknown,1,FR2_2B_C_Cntrl_EAD_15min,,,2,
Blank_22_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B12,Unknown,1,Blank_22_EAD_15min,,,2,
FR2_QC_1_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D12,Unknown,1,FR2_QC_1_EAD_15min,,,2,
FR2_2C_A_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F5,Unknown,1,FR2_2C_A_EAD_15min,,,2,
FR2_2C_B_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F6,Unknown,1,FR2_2C_B_EAD_15min,,,2,
FR2_2C_C_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F7,Unknown,1,FR2_2C_C_EAD_15min,,,2,
Blank_23_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B12,Unknown,1,Blank_23_EAD_15min,,,2,
FR2_2C_A_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F9,Unknown,1,FR2_2C_A_Cntrl_EAD_15min,,,2,
FR2_2C_B_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F10,Unknown,1,FR2_2C_B_Cntrl_EAD_15min,,,2,
FR2_2C_C_Cntrl_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,F11,Unknown,1,FR2_2C_C_Cntrl_EAD_15min,,,2,
Blank_24_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,B12,Unknown,1,Blank_24_EAD_15min,,,2,
FR2_QC_2_EAD_15min,,,15min_BEH_150msec_60msec_EAD_T10_7000nA_12KE_AO,,15min_BEH_100mm_Lx_LC_Binary_AO_2,Multisampler 2H 2H 1H 1H 1H 1H 5Ref,D3F,*96CorningV*,1,D12,Unknown,1,FR2_QC_2_EAD_15min,,,2,
